"population_id","year","abundance","Trend","geometry"
1011,1982,"4260","Decreasing",c(-105, 26)
1011,1983,"3940","Decreasing",c(-105, 26)
1011,1984,"3430","Decreasing",c(-105, 26)
1011,1985,"1360","Decreasing",c(-105, 26)
1041,1965,"23060","Decreasing",c(-105, 26)
1041,1966,"10500","Decreasing",c(-105, 26)
1041,1967,"6200","Decreasing",c(-105, 26)
1041,1968,"7330","Decreasing",c(-105, 26)
1041,1969,"8030","Decreasing",c(-105, 26)
1041,1970,"3490","Decreasing",c(-105, 26)
1041,1971,"7410","Decreasing",c(-105, 26)
1041,1972,"4990","Decreasing",c(-105, 26)
1041,1973,"5930","Decreasing",c(-105, 26)
1041,1974,"5920","Decreasing",c(-105, 26)
1041,1975,"7180","Decreasing",c(-105, 26)
1041,1976,"6670","Decreasing",c(-105, 26)
1041,1977,"3870","Decreasing",c(-105, 26)
1041,1978,"5840","Decreasing",c(-105, 26)
1041,1979,"17280","Decreasing",c(-105, 26)
1041,1980,"9480","Decreasing",c(-105, 26)
1041,1981,"18420","Decreasing",c(-105, 26)
1041,1982,"22760","Decreasing",c(-105, 26)
1041,1983,"17240","Decreasing",c(-105, 26)
1041,1984,"9980","Decreasing",c(-105, 26)
1041,1985,"9540","Decreasing",c(-105, 26)
1162,1970,"582","Decreasing",c(7.46056, 46.97778)
1162,1971,"530","Decreasing",c(7.46056, 46.97778)
1162,1972,"521","Decreasing",c(7.46056, 46.97778)
1162,1973,"419","Decreasing",c(7.46056, 46.97778)
1162,1974,"617","Decreasing",c(7.46056, 46.97778)
1162,1975,"500","Decreasing",c(7.46056, 46.97778)
1162,1976,"701","Decreasing",c(7.46056, 46.97778)
1162,1977,"654","Decreasing",c(7.46056, 46.97778)
1162,1978,"669","Decreasing",c(7.46056, 46.97778)
1162,1979,"835","Decreasing",c(7.46056, 46.97778)
1162,1980,"752","Decreasing",c(7.46056, 46.97778)
1162,1981,"646","Decreasing",c(7.46056, 46.97778)
1162,1982,"960","Decreasing",c(7.46056, 46.97778)
1162,1983,"1211","Decreasing",c(7.46056, 46.97778)
1162,1984,"752","Decreasing",c(7.46056, 46.97778)
1162,1985,"661","Decreasing",c(7.46056, 46.97778)
1162,1986,"391","Decreasing",c(7.46056, 46.97778)
1162,1987,"389","Decreasing",c(7.46056, 46.97778)
1162,1988,"806","Decreasing",c(7.46056, 46.97778)
1162,1989,"669","Decreasing",c(7.46056, 46.97778)
1162,1990,"558","Decreasing",c(7.46056, 46.97778)
1162,1991,"469","Decreasing",c(7.46056, 46.97778)
1162,1992,"419","Decreasing",c(7.46056, 46.97778)
1162,1993,"559","Decreasing",c(7.46056, 46.97778)
1162,1994,"788","Decreasing",c(7.46056, 46.97778)
1162,1995,"562","Decreasing",c(7.46056, 46.97778)
